source,target,value
Department of Economics, Benjamin Olken, 8,
Sea Grant College Program, Timothy Downes, 7,
Program in Media Arts and Sciences, Hiroshi Ishii, 6,
Department of Civil and Environmental Engineering, Ruben Juanes, 7,
Department of Materials Science and Engineering, Antoine Allanore, 3,
Department of Civil and Environmental Engineering, Dennis McLaughlin, 8,
Department of Biology, David Housman, 1,
Dept of Electrical Engineering & Computer Science, Luqiao Liu, 8,
Center for Information Systems Research, Jeanne Ross, 8,
Department of Civil and Environmental Engineering, David Simchi-Levi, 8,
Department of Physics, Aron Bernstein, 5,
Department of Physics, Washington Taylor, 1,
Department of Brain and Cognitive Sciences, Edward Adelson, 10,
Department of Physics, Joseph Formaggio, 5,
Department of Chemistry, Moungi Bawendi, 4,
Computer Science & Artificial Intelligence Lab, Patrick Dreher, 6,
Department of Mathematics, Andrei Negut, 7,
Department of Urban Studies and Planning, Sarah Williams, 7,
Media Laboratory, Caleb Harper, 3,
Dept of Electrical Engineering & Computer Science, Muriel Medard, 6,
Program in Media Arts and Sciences, Hugh Herr, 3,
Haystack Observatory, Colin Lonsdale, 8,
Computer Science & Artificial Intelligence Lab, Karen Sollins, 5,
Dept of Earth Atmospheric & Planetary Sciences, Susan Solomon, 2,
Department of Civil and Environmental Engineering, Nigel Wilson, 3,
Laboratory for Manufacturing and Productivity, Jung-Hoon Chun, 10,
Health Sciences and Technology Program, Sangeeta Bhatia, 4,
Media Laboratory, Kevin Slavin, 2,
Department of Chemical Engineering, Richard Braatz, 3,
Center for Global Change Science, Stephanie Dutkiewicz, 4,
SoE Dept/Lab/Center/Director Org, Joel Voldman, 3,
Department of Political Science, Barry Posen, 1,
Department of Chemical Engineering, Patrick Doyle, 7,
Dept of Earth Atmospheric & Planetary Sciences, Benjamin Weiss, 1,
Department of Physics, Kerstin Perez, 7,
Department of Biological Engineering, Alan Grodzinsky, 3,
Department of Physics, John Negele, 5,
Department of Mechanical Engineering, Rohit Karnik, 10,
Department of Mathematics, John Bush, 6,
Libraries, Micah Altman, 9,
Department of Biological Engineering, Steven Tannenbaum, 3,
Dept of Earth Atmospheric & Planetary Sciences, Sara Seager, 5,
Sloan School of Management, George Westerman, 3,
Dept of Electrical Engineering & Computer Science, Suvrit Sra, 10,
Department of Physics, Marc Kastner, 9,
Haystack Observatory, Larisa Goncharenko, 6,
Department of Aeronautics and Astronautics, Olivier de Weck, 2,
Dept of Electrical Engineering & Computer Science, Antonio Torralba, 5,
Department of Mathematics, Gigliola Staffilani, 4,
Department of Mathematics, David Jerison, 7,
Dept of Electrical Engineering & Computer Science, Berthold Horn, 10,
Center for Materials Science and Engineering, Michael Rubner, 10,
Dept of Electrical Engineering & Computer Science, Guy Bresler, 2,
Media Laboratory, Adam Marblestone, 6,
Department of Chemistry, Robert Griffin, 7,
Department of Physics, Markus Klute, 8,
Department of Civil and Environmental Engineering, Martin Polz, 4,
Program in Media Arts and Sciences, Mitchel Resnick, 4,
Office of the Vice President for Research, John Fernandez, 2,
MIT Energy Initiative, Robert Stoner, 8,
Computer Science & Artificial Intelligence Lab, Aude Oliva, 2,
Laboratory for Nuclear Science, Claude Williamson, 6,
Dept of Earth Atmospheric & Planetary Sciences, Eduardo Andrade Lima, 9,
Department of Aeronautics and Astronautics, Nancy Leveson, 10,
Department of Physics, Xiao-Gang Wen, 10,
Department of Political Science, Kenneth Oye, 3,
Dept of Electrical Engineering & Computer Science, Sanjoy Mitter, 2,
Dept of Earth Atmospheric & Planetary Sciences, Edward Boyle, 3,
Department of Chemical Engineering, Fikile Brushett, 7,
Department of Biology, Leonard Guarente, 4,
Department of Chemistry, Robert Field, 1,
Department of Brain and Cognitive Sciences, Evelina Fedorenko, 3,
Dept of Electrical Engineering & Computer Science, Collin Stultz, 6,
Department of Biology, Anthony Sinskey, 10,
Dept of Electrical Engineering & Computer Science, Polina Golland, 8,
Department of Mathematics, Goncalo Trigo Neri Tabuada, 10,
School of Science, Christine Malnati, 5,
Department of Aeronautics and Astronautics, Alvar Saenz-Otero, 8,
Department of Civil and Environmental Engineering, Marta Gonzalez, 3,
Abdul Latif Jameel World Water & Food Security Lab, John Lienhard, 5,
Department of Materials Science and Engineering, Juejun Hu, 5,
Dept of Earth Atmospheric & Planetary Sciences, Daniel Cziczo, 7,
Department of Aeronautics and Astronautics, Raul Radovitzky, 10,
Department of Nuclear Science and Engineering, Areg Danagoulian, 3,
Program in Science Technology and Society, Louis Bucciarelli, 4,
Program in Science Technology and Society, David Kaiser, 2,
Department of Brain and Cognitive Sciences, Pawan Sinha, 8,
Department of Mechanical Engineering, Sangbae Kim, 5,
Department of Economics, Abhijit Banerjee, 6,
Comparative Media Studies/Writing, Philip Tan, 5,
Dept of Electrical Engineering & Computer Science, Vinod Vaikuntanathan, 8,
Center for Environmental Health Sciences, Kathleen Vandiver, 6,
Department of Brain and Cognitive Sciences, Tomaso Poggio, 6,
Sloan School of Management, S. Kothari, 4,
Department of Aeronautics and Astronautics, Qiqi Wang, 6,
Department of Physics, Joseph Checkelsky, 7,
Institute for Data Systems and Society, Joseph Sussman, 2,
Dept of Electrical Engineering & Computer Science, Victor Zue, 2,
Computer Science & Artificial Intelligence Lab, Henry Lieberman, 10,
Office of the Vice President for Research, Daniela Rus, 9,
Institute for Data Systems and Society, David Marks, 1,
Department of Chemistry, Mircea Dinca, 9,
Department of Aeronautics and Astronautics, Leia Stirling, 2,
Department of Biology, Jacqueline Lees, 9,
Department of Brain and Cognitive Sciences, Nancy Kanwisher, 3,
Department of Economics, Amy Finkelstein, 2,
Kavli Institute for Astrophysics & Space Research, Marshall Bautz, 2,
McGovern Institute for Brain Research, Ian Wickersham, 8,
Department of Physics, Liang Fu, 7,
Institute for Medical Engineering and Science, Chi-Sang Poon, 7,
Department of Physics, Claude Canizares, 4,
Dept of Electrical Engineering & Computer Science, Adam Chlipala, 4,
Department of Nuclear Science and Engineering, Michael Golay, 3,
Brain And Cognitive Sciences, D Montgomery, 3,
Anthropology Program, Graham Jones, 8,
Sloan School of Management, Stephen Graves, 4,
Department of Aeronautics and Astronautics, Peter Belobaba, 10,
Department of Chemistry, Timothy Swager, 4,
Department of Mathematics, Asaf Ferber, 3,
Department of Civil and Environmental Engineering, Benjamin Kocar, 8,
Department of Aeronautics and Astronautics, Manuel Martinez-Sanchez, 3,
Department of Mathematics, Vadim Gorin, 3,
Dept of Electrical Engineering & Computer Science, Terry Orlando, 1,
Department of Mechanical Engineering, Warren Seering, 9,
Department of Brain and Cognitive Sciences, Mark Bear, 9,
Institute for Medical Engineering and Science, Amar Gupta, 5,
Department of Civil and Environmental Engineering, Colette Heald, 2,
Department of Biology, Michael Hemann, 8,
Department of Biology, Thomas Schwartz, 7,
Department of Physics, Janet Conrad, 7,
Office of the Institute Professors, Phillip Sharp, 10,
Sloan School of Management, Andrew Lo, 6,
Department of Civil and Environmental Engineering, Chiang Mei, 10,
Department of Architecture, Christoph Reinhart, 4,
Institute for Data Systems and Society, Richard de Neufville, 8,
Department of Brain and Cognitive Sciences, Elly Nedivi, 8,
Department of Mathematics, Davesh Maulik, 10,
Department of Physics, Nuh Gedik, 3,
Department of Biology, Matthew Vander Heiden, 3,
Dept of Electrical Engineering & Computer Science, Russell Tedrake, 9,
Department of Physics, Wolfgang Ketterle, 1,
Department of Aeronautics and Astronautics, Steven Barrett, 10,
Dept of Electrical Engineering & Computer Science, Wojciech Matusik, 8,
Sloan School of Management, Dimitris Bertsimas, 3,
School of Engineering, Ram Sasisekharan, 4,
Plasma Science and Fusion Center, Bruce Lipschultz, 5,
Dept of Electrical Engineering & Computer Science, Srinivas Devadas, 6,
Dept of Electrical Engineering & Computer Science, Isaac Chuang, 7,
Department of Nuclear Science and Engineering, Sidney Yip, 1,
Department of Architecture, Takehiko Nagakura, 5,
Department of Nuclear Science and Engineering, Jacopo Buongiorno, 1,
Department of Physics, Jesse Thaler, 9,
Department of Biology, J. Littleton, 7,
Plasma Science and Fusion Center, Darin Ernst, 5,
Dept of Electrical Engineering & Computer Science, Aleksander Madry, 7,
SoE Dept/Lab/Center/Director Org, Markus Buehler, 6,
Department of Civil and Environmental Engineering, Andrew Whittle, 4,
Sloan School of Management, Drazen Prelec, 6,
Department of Aeronautics and Astronautics, Jeffrey Hoffman, 7,
Department of Biology, Omer Yilmaz, 7,
Department of Economics, Esther Duflo, 7,
McGovern Institute for Brain Research, Zhenghan Qi, 6,
Sloan School of Management, Deborah Ancona, 4,
Department of Urban Studies and Planning, Bishwapriya Sanyal, 5,
Kavli Institute for Astrophysics & Space Research, Frederick Baganoff, 8,
Dept of Electrical Engineering & Computer Science, Silvio Micali, 6,
Dept of Electrical Engineering & Computer Science, Stefanie Jegelka, 4,
Department of Materials Science and Engineering, Lionel Kimerling, 9,
Department of Physics, Vladan Vuletic, 1,
Department of Mechanical Engineering, Neville Hogan, 3,
Dept of Electrical Engineering & Computer Science, Yury Polyanskiy, 9,
Department of Urban Studies and Planning, Carlo Ratti, 9,
Department of Chemical Engineering, Gregory Rutledge, 7,
Department of Urban Studies and Planning, Rex Britter, 1,
Sloan School of Management, Roberto Fernandez, 3,
Department of Biology, Monty Krieger, 7,
Department of Urban Studies and Planning, Dennis Frenchman, 6,
Department of Physics, Robert Redwine, 6,
Dept of Electrical Engineering & Computer Science, Michael Stonebraker, 2,
Department of Mathematics, Jared Speck, 3,
Comparative Media Studies/Writing, Ryan Chin, 7,
Department of Political Science, Vipin Narang, 3,
Dept of Electrical Engineering & Computer Science, Louis Braida, 5,
Department of Brain and Cognitive Sciences, Rebecca Saxe, 8,
Department of Mechanical Engineering, Evelyn Wang, 7,
Department of Mechanical Engineering, Seth Lloyd, 1,
Department of Civil and Environmental Engineering, Oral Buyukozturk, 6,
Department of Mathematics, Scott Sheffield, 4,
Department of Brain and Cognitive Sciences, Earl Miller, 4,
Sloan School of Management, John Reilly, 5,
Haystack Observatory, Geoffrey Crew, 6,
Program in Media Arts and Sciences, Deb Roy, 7,
Plasma Science and Fusion Center, Robert Granetz, 7,
Department of Nuclear Science and Engineering, Ian Hutchinson, 9,
Kavli Institute for Astrophysics & Space Research, Gabor Furesz, 5,
Department of Mechanical Engineering, Lynette Jones, 1,
Department of Mechanical Engineering, Kenneth Kamrin, 3,
Department of Physics, Nergis Mavalvala, 9,
Department of Mechanical Engineering, Gang Chen, 1,
Department of Mechanical Engineering, John Heywood, 1,
Institute for Medical Engineering and Science, Jane-Jane Chen, 3,
Department of Chemistry, Mohammad Movassaghi, 5,
Department of Physics, Robert Simcoe, 1,
Department of Economics, Victor Chernozhukov, 7,
Dept of Electrical Engineering & Computer Science, Karl Berggren, 1,
Inst for Medical Eng. and Science Prof, Roger Mark, 3,
Department of Aeronautics and Astronautics, Paul Lagace, 8,
Department of Architecture, Arindam Dutta, 5,
Institute for Soldier Nanotechnologies, Simona Socrate, 2,
Laboratory for Information and Decision Systems, Kalyan Veeramachaneni, 8,
World Wide Web Consortium, Jeffrey Jaffe, 2,
Department of Mathematics, David Spivak, 6,
Dept of Electrical Engineering & Computer Science, David Perreault, 3,
Department of Mathematics, Jonathan Kelner, 7,
Materials Research Laboratory, Anuradha Agarwal, 2,
Dept of Electrical Engineering & Computer Science, Jack Dennis, 9,
Department of Mechanical Engineering, Paul Sclavounos, 5,
Laboratory for Nuclear Science, Linda Sugiyama, 1,
Inst for Medical Eng. and Science Prof, Lee Gehrke, 3,
Dept of Earth Atmospheric & Planetary Sciences, Margaret Pan, 8,
Plasma Science and Fusion Center, Jay Kesner, 1,
Comparative Media Studies/Writing, Eric Klopfer, 3,
Kavli Institute for Astrophysics & Space Research, David Huenemoerder, 10,
Comparative Media Studies/Writing, Edward Barrett, 4,
Department of Architecture, Skylar Tibbits, 8,
Comparative Media Studies/Writing, Scot Osterweil, 10,
Dept of Electrical Engineering & Computer Science, William Freeman, 1,
Department of Mathematics, George Lusztig, 10,
Plasma Science and Fusion Center, Yukikazu Iwasa, 10,
Media Laboratory, Lisa Freed, 2,
Dept of Earth Atmospheric & Planetary Sciences, Oliver Jagoutz, 6,
Materials Research Laboratory, Susan Dalton, 10,
Department of Mechanical Engineering, Chryssostomo Chryssostomidis, 4,
Department of Mechanical Engineering, Timothy Gutowski, 9,
MIT Energy Initiative, Sergey Paltsev, 10,
Program in Science Technology and Society, Michael Fischer, 7,
Sloan School of Management, John Sterman, 2,
Department of Chemistry, Timothy Jamison, 9,
Libraries, Nancy McGovern, 3,
Dept of Earth Atmospheric & Planetary Sciences, Kristin Bergmann, 3,
Institute for Data Systems and Society, Noelle Selin, 10,
Dept of Earth Atmospheric & Planetary Sciences, Tanja Bosak, 4,
Sloan School of Management, Thomas Malone, 9,
Department of Materials Science and Engineering, Alfredo Alexander-Katz, 9,
Dept of Earth Atmospheric & Planetary Sciences, Shuhei Ono, 10,
Dept of Earth Atmospheric & Planetary Sciences, Paola Rizzoli, 4,
Sloan School of Management, Eric von Hippel, 7,
Department of Mechanical Engineering, Amos Winter, 7,
Center for Collective Intelligence, Mark Klein, 4,
Department of Biological Engineering, Eric Alm, 2,
Aeronautics And Astronautics, M Burton, 8,
Department of Mechanical Engineering, Michael Triantafyllou, 6,
Department of Materials Science and Engineering, Elsa Olivetti, 7,
Sea Grant College Program, Thomas Consi, 1,
Department of Biological Engineering, Scott Manalis, 5,
Dept of Earth Atmospheric & Planetary Sciences, Michael Fehler, 9,
Department of Chemical Engineering, Bernhardt Trout, 1,
Comparative Media Studies/Writing, William Uricchio, 3,
Department of Physics, Lawrence Rosenson, 3,
Media Laboratory, Shuguang Zhang, 8,
Department of Civil and Environmental Engineering, Donna Hudson, 1,
Department of Architecture, Miho Mazereeuw, 2,
Department of Biological Engineering, Paul Blainey, 10,
Department of Materials Science and Engineering, Yoel Fink, 8,
Department of Chemistry, Jeremiah Johnson, 8,
Department of Biological Engineering, Leona Samson, 8,
Dept of Earth Atmospheric & Planetary Sciences, Paul O'Gorman, 7,
Department of Chemical Engineering, Bradley Olsen, 10,
Health Sciences and Technology Program, Elazer Edelman, 8,
Center for Global Change Science, Chien Wang, 3,
Chancellor's Office, Cynthia Barnhart, 8,
Department of Aeronautics and Astronautics, Edward Crawley, 4,
Department of Nuclear Science and Engineering, Michael Short, 10,
Department of Mathematics, Alan Edelman, 6,
Department of Political Science, Evan Lieberman, 1,
Program in Media Arts and Sciences, Ethan Zuckerman, 9,
Department of Physics, Mark Vogelsberger, 1,
Dept of Electrical Engineering & Computer Science, David Sontag, 8,
Haystack Observatory, Arthur Niell, 5,
Department of Brain and Cognitive Sciences, Feng Zhang, 2,
Department of Brain and Cognitive Sciences, Edward Gibson, 7,
McGovern Institute for Brain Research, Yuwen Hung, 5,
Dept of Electrical Engineering & Computer Science, David Gifford, 6,
Dept of Electrical Engineering & Computer Science, Jeffrey Lang, 3,
Sloan School of Management, Tavneet Suri, 8,
Department of Physics, Martin Zwierlein, 7,
Center for Global Change Science, Ronald Prinn, 2,
Department of Brain and Cognitive Sciences, John Gabrieli, 2,
Plasma Science and Fusion Center, James Irby, 10,
Department of Chemistry, Stephen Lippard, 7,
Department of Mechanical Engineering, David Wallace, 1,
Dept of Electrical Engineering & Computer Science, Markus Zahn, 2,
Dept of Electrical Engineering & Computer Science, Erich Ippen, 9,
Dept of Electrical Engineering & Computer Science, Piotr Indyk, 5,
Dept of Earth Atmospheric & Planetary Sciences, M. Toksoz, 3,
Department of Materials Science and Engineering, Harry Tuller, 6,
Haystack Observatory, Victor Pankratius, 7,
Department of Mechanical Engineering, George Barbastathis, 5,
Department of Aeronautics and Astronautics, Hamsa Balakrishnan, 3,
Nuclear Reactor Laboratory, David Moncton, 3,
Department of Architecture, James Wescoat, 2,
Department of Mechanical Engineering, Stanley Gershwin, 10,
Kavli Institute for Astrophysics & Space Research, Herman Marshall, 5,
Materials Research Laboratory, Randolph Kirchain, 7,
Department of Materials Science and Engineering, Niels Holten-Andersen, 1,
Department of Nuclear Science and Engineering, Dennis Whyte, 5,
Haystack Observatory, Anthea Coster, 2,
Dept of Electrical Engineering & Computer Science, Michael Watts, 7,
Department of Materials Science and Engineering, Polina Anikeeva, 6,
Department of Physics, Frank Taylor, 8,
Department of Aeronautics and Astronautics, Sertac Karaman, 6,
Sloan School of Management, Stuart Madnick, 5,
McGovern Institute for Brain Research, Ki Goosens, 5,
Dept of Electrical Engineering & Computer Science, Virginia Williams, 10,
Department of Physics, Stanley Kowalski, 2,
Institute for Medical Engineering and Science, Arup Chakraborty, 4,
Department of Mathematics, Michel Goemans, 7,
Office of the Provost, John Brisson, 6,
Department of Physics, Anna Frebel, 2,
Department of Nuclear Science and Engineering, Bilge Yildiz, 4,
Department of Physics, Samuel Ting, 3,
Dept of Electrical Engineering & Computer Science, Patrick Winston, 3,
Sloan School of Management, Valerie Karplus, 2,
Dept of Electrical Engineering & Computer Science, Konstantinos Daskalakis, 5,
Department of Materials Science and Engineering, Ming Dao, 6,
Plasma Science and Fusion Center, Leslie Bromberg, 3,
Department of Nuclear Science and Engineering, Ronald Ballinger, 5,
Dept of Electrical Engineering & Computer Science, Stefanie Mueller, 9,
Program in Media Arts and Sciences, Joseph Paradiso, 2,
Department of Mechanical Engineering, Nicolas Hadjiconstantinou, 6,
Department of Political Science, Lily Tsai, 8,
Department of Mechanical Engineering, Stefano Brizzolara, 5,
Department of Aeronautics and Astronautics, Robert Hansman, 6,
Sociotechnical Systems Research Center, Eric Rebentisch, 7,
Dept of Electrical Engineering & Computer Science, Pablo Parrilo, 9,
Dept of Electrical Engineering & Computer Science, Caroline Uhler, 6,
Department of Aeronautics and Astronautics, Charles Oman, 7,
Department of Civil and Environmental Engineering, Charles Harvey, 1,
Department of Biological Engineering, Bevin Engelward, 4,
Media Laboratory, V Bove, 2,
Department of Civil and Environmental Engineering, Heidi Nepf, 1,
Department of Physics, Senthil Todadri, 10,
Department of Mechanical Engineering, Domitilla Del Vecchio, 9,
Dept of Electrical Engineering & Computer Science, Judy Hoyt, 6,
Department of Chemistry, Elizabeth Nolan, 5,
Department of Nuclear Science and Engineering, Charles Forsberg, 4,
Department of Urban Studies and Planning, Lawrence Vale, 10,
Department of Physics, Nikta Fakhri, 7,
Department of Biology, Uttam Rajbhandary, 6,
Office of the Provost, Tenley Albright, 7,
Department of Mechanical Engineering, Maria Yang, 6,
Plasma Science and Fusion Center, Paul Woskov, 8,
Kavli Institute for Astrophysics & Space Research, Hans Guenther, 10,
Department of Physics, William Bertozzi, 3,
Open Learning Enterprise, Anant Agarwal, 2,
Department of Biological Engineering, Darrell Irvine, 10,
Department of Biology, Gene-Wei Li, 1,
Department of Civil and Environmental Engineering, Harold Hemond, 1,
Department of Chemical Engineering, Heather Kulik, 7,
Department of Mathematics, Steve Johnson, 4,
Media Laboratory, Michail Bletsas, 8,
Plasma Science and Fusion Center, Dongkeun Park, 8,
Department of Aeronautics and Astronautics, Deborah Nightingale, 7,
Department of Economics, Robert Townsend, 1,
Department of Mathematics, Peter Shor, 8,
Department of Chemistry, Jianshu Cao, 2,
Center for Global Change Science, Xiang Gao, 10,
Center for Transportation and Logistics, Joseph Coughlin, 9,
Department of Chemical Engineering, Kristala Prather, 2,
Department of Mechanical Engineering, Alexie Kolpak, 3,
Department of Aeronautics and Astronautics, Eytan Modiano, 4,
Department of Urban Studies and Planning, Jinhua Zhao, 5,
Plasma Science and Fusion Center, Makoto Takayasu, 7,
Department of Materials Science and Engineering, Caroline Ross, 4,
Materials Research Laboratory, Jurgen Michel, 3,
Department of Brain and Cognitive Sciences, Emery Brown, 6,
Department of Biology, Robert Sauer, 9,
Computer Science & Artificial Intelligence Lab, Daniel Weitzner, 7,
Department of Mechanical Engineering, Xuanhe Zhao, 8,
Department of Civil and Environmental Engineering, Roman Stocker, 1,
Department of Biology, Rudolf Jaenisch, 2,
SoE Dept/Lab/Center/Director Org, Nancy Lynch, 8,
DLC Heads Science, Li-Huei Tsai, 7,
Dept of Earth Atmospheric & Planetary Sciences, Gregory Fournier, 4,
Dept of Electrical Engineering & Computer Science, Tamara Broderick, 2,
Department of Biology, Christopher Burge, 6,
Department of Urban Studies and Planning, Brent Ryan, 8,
Office of the Vice President for Research, Marc Baldo, 7,
Department of Materials Science and Engineering, Samuel Allen, 5,
Institute for Medical Engineering and Science, Julie Greenberg, 6,
David H Koch Institute for Integrative Cancer Res, Scott Malstrom, 7,
Department of Nuclear Science and Engineering, Kord Smith, 3,
Department of Biology, Michael Laub, 4,
Department of Chemical Engineering, William Green, 2,
Department of Biology, Catherine Drennan, 9,
Department of Biological Engineering, Alan Jasanoff, 7,
Dept of Earth Atmospheric & Planetary Sciences, Richard Binzel, 8,
Department of Biological Engineering, Peter Dedon, 10,
Laboratory for Nuclear Science, James Kelsey, 5,
Department of Aeronautics and Astronautics, Nicholas Roy, 7,
Program in Media Arts and Sciences, Ramesh Raskar, 6,
Dept of Earth Atmospheric & Planetary Sciences, William Durham, 6,
DLC Heads Science, Robert van der Hilst, 8,
Department of Brain and Cognitive Sciences, Joshua Tenenbaum, 7,
Department of Mechanical Engineering, Roger Kamm, 7,
