Primary_Sponsor,Direct_Sponsors,Project_Wbs_Id,G_C,Profit_Center_Id,Sponsor_Contract_Number,Supervisor,Project_W,Project_Wbs Expiration_D,Fytd_Amount,Auth_Total,Unexpended_Balance
,007533 University of California-Santa Barbar,6932998,C,P122030,KK1622,Malone /Thomas W,09/15/15,09/14/18,221414,232349,-116028
,,6935172,C,P400600,KK1713,Graybiel /Ann M,09/01/16,08/31/19,217889,70000,-147889
,007614 University of Ut,6932906,C,P061093,10037637-MIT,Haimes /Robert,06/12/15,02/11/18,38639,116694,45708
,007623 University of Chicago,6929146,C,P267100,FP054294-C,Ketterle /Wolfgang,10/18/13,08/31/18,147144,475533,24659
,,6930248,C,P267100,FP054294-C,Ketterle /Wolfgang,04/01/14,08/31/17,110227,250000,-52515
,007625 University of California,6919765,C,P069200,KK9151,Lauffenburger /Douglas A,12/01/08,11/30/18,0,237098,237098
,,6919767,C,P402010,KK9151-1,Manalis /Scott R,12/01/08,06/30/14,0,1290278,0
,,6919782,C,P066000,KK9151-7,Belcher /Angela M,12/12/08,06/30/14,0,162347,0
,,6919783,C,P069200,KK9151,Lauffenburger /Douglas A,12/12/08,06/30/14,0,1073148,0
,,6919784,C,P066000,KK9151,Belcher /Angela M,12/12/08,06/30/14,0,1017368,0
,,6919785,C,P066000,KK9151,Belcher /Angela M,12/12/08,06/30/14,0,1181026,0
,,6920091,C,P066000,KK9151-13,Belcher /Angela M,05/18/09,03/31/13,0,270000,0
,,6923979,C,P069200,KK9151,Fraenkel /Ernest,12/01/10,06/30/14,0,378161,0
,,6923986,C,P062000,KK9151,Prather /Kristala L,12/01/10,06/30/14,0,406710,0
,,6923987,C,P062000,KK9151,Doyle /Patrick S,12/01/10,06/30/14,0,329608,0
,,6924037,C,P066000,KK9151,Ortiz /Christine,12/12/08,06/30/14,0,325515,0
,,6924426,C,P066000,KK9151-22,Belcher /Angela M,06/14/11,06/13/12,0,250329,0
,,6925494,C,P069200,KK9151,Voigt /Christopher A.,12/01/11,06/30/14,0,229485,0
,,6925721,C,P069200,KK9151-1,Weiss /Ron,12/01/08,06/30/14,0,276549,0
,,6925894,C,P066000,KK9151-24,Belcher /Angela M,05/01/12,12/31/15,0,449668,"15,339"
,,6926410,C,P069200,KK9151-24,Lauffenburger /Douglas A,05/01/12,12/31/15,0,629683,37310
,,6927066,C,P065004,KK9151,Buie /Cullen,12/01/10,06/30/14,0,105602,0
,,6929256,C,P069201,KK9151-30,Lauffenburger /Douglas A,12/01/13,11/30/16,27552,67478,10188
,,6929257,C,P069201,KK9151-31,Lauffenburger /Douglas A,12/01/13,11/30/17,221538,799539,5772
,,6929260,C,P069201,KK9151-31,Voigt /Christopher A.,12/01/13,11/30/17,120723,417917,37698
,,6929261,C,P069201,KK9151-31,Weiss /Ron,12/01/13,11/30/16,86648,341316,0
,,6929262,C,P066000,KK9151-33,Belcher /Angela M,12/01/13,05/31/17,192986,399011,-112601
,,6929264,C,P066000,KK9151-34,Ortiz /Christine,12/01/13,03/31/15,0,38701,0
,,6929265,C,P402010,KK9151-35,Manalis /Scott R,12/01/13,11/30/17,210267,617596,-31941
,,6933077,C,P062000,KK9151,Prather /Kristala L,09/02/15,11/30/17,105790,316000,153855
,007630 University of Pennsylvania,6926839,C,P091000,560102,Acemoglu /K. Daron,09/01/12,06/30/17,159107,470982,-57518
,,6927220,C,P068700,560102,Ozdaglar /Asuman E,09/01/12,06/30/17,90184,422749,-24675
,,6927221,C,P068700,560102,Dahleh /Munther A,09/01/12,06/30/17,56370,422749,61555
,,6927407,C,P095500,560102,Christia /Fotini,09/01/12,06/30/17,142238,422749,49435
,007633 University of Maryland,6923071,C,P267110,Z841801,Zwierlein /Martin Wolfram,09/01/10,04/30/17,5416,661504,-388
,,6923511,C,P267110,Z841801,Chuang /Isaac,09/01/10,08/31/15,0,195036,0
,,6924354,C,P267110,Z841801,Zwierlein /Martin Wolfram,01/01/11,08/31/16,3047,581243,0
,007639 University of Washington,6931394,C,P065004,"BPO4415, SUB# UWSC796",Alvarado /Jose Ramon,08/01/14,10/15/15,20,126736,0
,,6933157,C,P065004,"BPO4415, SUB# UWSC796",Alvarado /Jose Ramon,10/16/15,11/01/17,139355,195045,-24306
,007641 University of Michigan,6924853,C,P067952,SUBCONTRACT 30019963,Fisher /John W,08/22/11,09/06/16,-27423,981780,0
,,6924976,C,P068700,SUBCONTRACT 30019963,How /Jonathan P,08/22/11,09/06/16,56015,739875,0
,007676 University of California - Berkeley,6929748,C,P267300,00008426 / BB00344334,Orlando /Terry Philip,02/15/14,02/14/15,0,41687,0
,,6931650,C,P267300,00008426 / BB00344334,Orlando /Terry Philip,02/15/15,08/14/17,256295,537313,45720
,,6933826,C,P267300,00008426 / BB00344334,Orlando /Terry Philip,02/15/16,08/14/17,284943,299000,14057
,007739 University of Sydney,6932129,C,P267300,G174385 RESEARCH COL,Orlando /Terry Philip,10/06/14,10/05/17,0,0,0
,,6932130,C,P267300,G174385 RESEARCH COL,Orlando /Terry Philip,10/06/14,10/05/15,0,162412,0
,,6933550,C,P267300,G174385 RESEARCH COL,Orlando /Terry Philip,10/06/15,10/05/16,21745,104276,0
,,6935365,C,P267300,G174385 RESEARCH COL,Orlando /Terry Philip,10/06/16,10/05/17,429579,782661,353082
,007741 University of Maryland - College Park,6932890,C,P267100,2875-Z8401005,Vuletic /Vladan,06/26/15,06/25/18,110512,399843,163769
,,6932951,C,P267111,28725-Z8401005,Englund /Dirk R.,06/26/15,06/25/18,193010,338444,-32367
,,6933648,C,P267100,2875-Z8401005,Vuletic /Vladan,06/26/15,06/25/17,172104,140000,-112127
,,6934535,C,P267111,28725-Z8401005,Englund /Dirk R.,08/01/16,06/25/17,5808,8319,2511
,,6934591,C,P267111,28725-Z8401005,Englund /Dirk R.,06/01/16,06/25/17,5195,6158,962
,,6936017,C,P267111,28725-Z8401005,Englund /Dirk R.,02/01/17,06/25/17,1012,5000,3988
,007845 Yale University,6926650,C,P267100,C13J11492(J00210),Ketterle /Wolfgang,09/01/12,08/31/17,0,0,0
,,6926770,C,P267100,C13J11492(J00210),Ketterle /Wolfgang,09/01/12,08/31/17,107706,494324,-34069
,,6926771,C,P267110,C13J11492(J00210),Zwierlein /Martin Wolfram,09/01/12,08/31/17,108770,390839,54285
,,6927741,C,P267100,C13J11492(J00210),Ketterle /Wolfgang,01/01/13,08/31/17,38251,239000,27204
,,6927857,C,P267110,C13J11492(J00210),Zwierlein /Martin Wolfram,09/01/12,08/31/17,38345,180000,-2158
,011724 The Fab Found,6931452,C,P039020,AGMT DATED 10/1/14,Gershenfeld /Neil A,07/15/14,08/14/17,82062,715583,0
,102131 H. F. Webster E,6935773,C,P066000,AGREEMENT DATED 10-1,Schuh /Christopher A,10/01/16,09/30/17,0,100000,100000
,Total by Primary Sponsor,,,,,,,,17619366,94042066,11467184
000125 Army Corps of Engineers,000125 Army Corps of Engineers,6930281,C,P063007,W912HQ-14-C-0028,Gschwend /Philip M,08/20/14,08/20/18,221972,689990,194330
,,6930331,C,P063007,W912HQ-14-C-0034,Gschwend /Philip M,07/03/14,09/29/18,325098,1072234,247895
,Total by Primary Sponsor,,,,,,,,547070,1762224,"442,225"
000129 Army RDECOM-Adelphi,"003904 BAE Systems Info & Electronic Systems Integration, Inc",6923517,C,P067952,741274,Rus /Daniela L,01/01/11,09/30/17,6596,422001,3614
,,6924057,C,P067952,741274,Roy /Nicholas,01/01/11,09/30/17,96896,471119,14133
,,6931694,C,P417000,892730,Celanovic /Ivan L.,01/26/15,10/31/17,120346,285948,49363
,,6936218,C,P417000,892730,Celanovic /Ivan L.,01/01/17,08/01/17,13938,42000,28062
,007533 University of Ca,6934736,C,P069201,KK9151,Lauffenburger /Douglas A,06/01/16,05/31/17,113175,200000,86825
,Total by Primary Sponsor,,,,,,,,350951,1421068,181997
"000132 U.S. Army
Medical Research and Material Command","000132 U.S. Army
Medical Research and Material Command",6924324,C,P400600,W81XWH-11-2-0179,Gabrieli /John D. E.,08/01/11,07/31/16,-3367,1368271,0
,,6928165,C,P402010,W81XWH-13-1-0151,Hammond /Paula T,07/01/13,07/21/18,599692,3732693,1000247
,,6928621,C,P402012,W81XWH-13-1-0323,Jacks /Tyler E,07/01/13,09/14/16,19872,763092,0
,,6928739,C,P062000,W81XWH-13-1-0272,Sikes Johnson /Hadley,09/30/13,09/29/16,50233,546859,0
,,6930323,C,P402000,W81XWH-14-1-0240,Hynes /Richard O,08/15/14,08/14/19,382763,4988927,3799254
,,6930418,C,P039070,W81XWH-14-C-0111,Herr /Hugh M,06/01/14,08/05/18,594323,2709665,1144064
,,6930492,C,P039070,W81XWH-14-C-0111,Herr /Hugh M,06/01/14,08/05/14,0,105577,0
,,6930500,C,P402000,W81XWH-14-1-0240,Hynes /Richard O,08/15/14,08/14/19,181976,1214000,547694
,,6930686,C,P039070,W81XWH-14-C-0111,Herr /Hugh M,06/01/14,08/05/18,855,171270,-3042
,,6930687,C,P039070,W81XWH-14-C-0111,Herr /Hugh M,06/01/14,08/05/14,0,14518,0
,,6930858,C,P062000,W81XWH-14-1-0544,Hammond /Paula T,07/01/14,09/29/17,213471,758476,165697
,,6930905,C,P069201,W81XWH-14-1-0544,Grodzinsky /Alan J,07/01/14,09/29/17,68751,332279,74465
,,6931897,C,P151015,W81XWH-15-1-0095,Guarente /Leonard Pershing,05/01/15,04/30/17,22021,351000,4115
,,6932663,C,P165000,W81XWH-15-1-0365,Essigmann /John M,09/30/15,09/29/18,262470,1156368,727209
,,6932762,C,P402000,W81XWH-15-1-0623,Jin /Chengcheng,09/30/15,09/29/16,26109,152836,0
,,6934805,C,P267600,W81XWH-16-1-0452,Wu /Ming-Ru,09/01/16,08/31/18,118380,189600,71220
,,6935035,C,P267600,W81XWH-16-1-0565,Lu /Timothy K,09/01/16,08/31/19,42255,566325,524070
,,6936307,C,P165000,W81XWH-17-1-0185,Fazly /Ahmed,07/01/17,06/30/18,0,151418,151418
,,6936330,C,P402000,W81XWH-17-1-0182,Schafer /Anette Claudia,07/01/17,06/30/18,0,154700,154700
,005321 Brigham & Wom,6933104,C,P061901,112729,Edelman /Elazer R,07/15/15,07/14/17,105460,171600,25192
,006570 Massachusetts General Hospital,6928220,C,P400600,221647,Ghosh /Satrajit S,09/30/12,09/30/16,4109,87211,12761
,,6934251,C,P065005,AGREEMENT REF 223308,So /Peter T. C.,06/01/16,01/15/17,30884,30884,0
,007233 Rutgers Univers,6930216,C,P402000,5298 (W81XWH-14-1-0100,Langer /Robert S,05/01/14,04/30/18,230610,1200000,52336
,012118 I.R.C.C.S. Istitu,6933716,C,P065004,SUBAWARD UNDER W81,Kamm /Roger Dale,06/01/15,05/31/18,22098,30000,7902
,Total by Primary Sponsor,,,,,,,,2972965,20947568,8459301
"000134 U.S. Army
Natick Soldier RD&E Center",007641 University of Mi,6933569,C,P061090,3003660082,Stirling /Leia A.,09/03/15,09/02/17,329325,488433,111433
,Total by Primary Sponsor,,,,,,,,329325,488433,111433
000135 ARO-ISN UARC,000135 ARO-ISN UARC,6915500,C,P417000,W911NF-07-D-0004,Joannopoulos /John,05/01/07,07/31/12,0,6272,6272
,,6915502,C,P417000,W911NF-07-D-0004,Joannopoulos /John,05/01/07,07/31/13,0,238417,238417
,,6915503,C,P417000,W911NF-07-D-0004,Joannopoulos /John,05/01/07,07/31/13,0,11833,11833
,,6915507,C,P417000,"W911NF-07-D-0004, T.O. 1",Joannopoulos /John,05/01/07,07/31/13,0,593889,0
,,6915508,C,P417000,W911NF-07-D-0004,Joannopoulos /John,05/01/07,07/31/13,0,1823958,0
,,6915509,C,P417000,W911NF-07-D-0004,Joannopoulos /John,05/01/07,07/31/13,0,1292398,0
,,6915510,C,P417000,"W911NF07-D-0004, T.O. 2",Joannopoulos /John,05/01/07,07/31/13,0,8680675,0
,,6915511,C,P417000,"W911NF-07-D-0004, T.O. 3",Joannopoulos /John,05/01/07,07/31/13,0,0,0
,,6915515,C,P417000,"W911NF-07-D-0004, T.O. 7",Joannopoulos /John,05/01/07,07/31/13,0,0,0
,,6915517,C,P417000,"W911NF-07-D-0004, T.O. 9",Joannopoulos /John,03/01/08,05/31/13,579,0,0
,,6915520,C,P417000,"W911NF-07-D-0004, T.O. 3",Rutledge /Gregory C,05/01/07,07/31/13,0,1086698,0
,,6915521,C,P417000,"W911NF-07-D-0004, T.O. 3",Gleason /Karen K,05/01/07,07/31/12,0,383293,0
,,6915522,C,P417000,"W911NF-07-D-0004, T.O. 3",Hammond /Paula T,05/01/07,07/31/12,0,422203,0
,,6915523,C,P417000,"W911NF-07-D-0004, T.O. 3",Jensen /Klavs F,05/01/07,07/31/12,0,785298,0
,,6915524,C,P417000,"W911NF-07-D-0004, T.O. 3",Bawendi /Moungi G,05/01/07,07/31/12,0,784061,0
,,6915525,C,P417000,"W911NF-07-D-0004, T.O. 3",Kastner /Marc A,05/01/07,07/31/12,0,349437,0
,,6915526,C,P417000,"W911NF-07-D-0004, T.O. 3",Bawendi /Moungi G,05/01/07,07/31/12,0,702502,0
,,6915527,C,P417000,"W911NF-07-D-0004, T.O. 3",Bulovic /Vladimir,05/01/07,07/31/12,0,477594,0
,,6915528,C,P417000,"W911NF-07-D-0004, T.O. 3",Nocera /Daniel G,05/01/07,07/31/12,0,400783,0
,,6915529,C,P417000,"W911NF-07-D-0004, T.O. 3",Bawendi /Moungi G,05/01/07,07/31/12,0,414211,0
,,6915530,C,P417000,"W911NF-07-D-0004, T.O. 3",Joannopoulos /John,05/01/07,07/31/12,0,319492,0
,,6915531,C,P417000,"W911NF-07-D-0004, T.O. 3",Johnson /Steven G,05/01/07,07/31/12,0,349734,0
,,6915532,C,P417000,"W911NF-07-D-0004, T.O. 3",Fink /Yoel,05/01/07,07/31/12,0,725777,0
,,6915533,C,P417000,"W911NF-07-D-0004, T.O. 3",McKinley /Gareth H,05/01/07,12/31/11,0,63132,0
,,6915534,C,P417000,"W911NF-07-D-0004, T.O. 3",Hammond /Paula T,05/01/07,07/31/12,0,385627,0
,,6915535,C,P417000,"W911NF-07-D-0004, T.O. 3",Schrock /Richard Royce,05/01/07,12/31/11,0,368369,0
,,6915536,C,P417000,"W911NF-07-D-0004, T.O. 3",Thomas /Edwin L,05/01/07,12/31/09,0,345803,0
,,6915537,C,P417000,"W911NF-07-D-0004, T.O. 3",Johnson /Steven G,05/01/07,12/31/09,0,50696,0
,,6915538,C,P417000,"W911NF-07-D-0004, T.O. 4",Hunter /Ian,05/01/07,07/31/12,0,653103,0
,,6915539,C,P417000,"W911NF-07-D-0004, T.O. 4",Marzari /Nicola,05/01/07,12/31/09,0,80706,0
,,6915540,C,P417000,"W911NF-07-D-0004, T.O. 4",Swager /Timothy M,05/01/07,07/31/12,0,440169,0
,,6915541,C,P417000,"W911NF-07-D-0004, T.O. 4",Belcher /Angela M,05/01/07,07/31/12,0,376479,0
,,6915542,C,P417000,"W911NF-07-D-0004, T.O. 4",Stephanopoulos /Gregory,05/01/07,07/31/12,0,358120,0
,,6915543,C,P417000,"W911NF-07-D-0004, T.O. 4",Hammond /Paula T,05/01/07,07/31/12,0,689028,0
,,6915544,C,P417000,"W911NF-07-D-0004, T.O. 4",Irvine /Darrell J,05/01/07,07/31/12,0,1330901,0
,,6915545,C,P417000,"W911NF-07-D-0004, T.O. 4",Cima /Michael J,05/01/07,07/31/12,0,1033799,0
,,6915546,C,P417000,"W911NF-07-D-0004, T.O. 4",Langer /Robert S,05/01/07,07/31/12,0,499024,0
,,6915547,C,P417000,"W911NF-07-D-0004, T.O. 4",Gleason /Karen K,05/01/07,07/31/12,0,316491,0
,,6915548,C,P417000,"W911NF-07-D-0004, T.O. 4",Jensen /Klavs F,05/01/07,07/31/12,0,456360,0
,,6915549,C,P417000,"W911NF-07-D-0004, T.O. 4",Tannenbaum /Steven R,05/01/07,07/31/12,0,413721,0
,,6915550,C,P417000,"W911NF-07-D-0004, T.O. 4",Swager /Timothy M,05/01/07,07/31/12,0,438637,0
,,6915551,C,P417000,"W911NF-07-D-0004, T.O. 4",Bazant /Martin Z,05/01/07,07/31/08,0,126037,0
,,6915552,C,P417000,"W911NF-07-D-0004, T.O. 4",Thorsen /Todd A.,05/01/07,12/31/09,0,201594,0
,,6915553,C,P417000,"W911NF-07-D-0004, T.O. 5",Thomas /Edwin L,05/01/07,07/31/12,0,463841,0
,,6915554,C,P417000,"W911NF-07-D-0004, T.O. 5",Cao /Jianshu,05/01/07,12/31/09,0,50694,0
,,6915555,C,P417000,"W911NF-07-D-0004, T.O. 5",Swager /Timothy M,05/01/07,07/31/12,0,609595,0
,,6915556,C,P417000,"W911NF-07-D-0004, T.O. 5",Thomas /Edwin L,05/01/07,07/31/12,0,1111678,0
,,6915557,C,P417000,"W911NF-07-D-0004, T.O. 5",Boyce /Mary Cunningham,05/01/07,07/31/12,0,473452,0
,,6915558,C,P417000,"W911NF-07-D-0004, T.O. 5",Ortiz /Christine,05/01/07,07/31/12,0,960043,0
,,6915559,C,P417000,"W911NF-07-D-0004, T.O. 5",Boyce /Mary Cunningham,05/01/07,07/31/12,0,40849,0
,,6915560,C,P417000,"W911NF-07-D-0004, T.O. 5",Thomas /Edwin L,05/01/07,07/31/13,0,345218,0
,,6915561,C,P417000,"W911NF-07-D-0004, T.O. 5",Nelson /Keith Adam,05/01/07,07/31/12,0,703556,0
,,6915562,C,P417000,"W911NF-07-D-0004, T.O. 5",Radovitzky /Raul A,05/01/07,07/31/12,0,891417,0
,,6915563,C,P417000,"W911NF-07-D-0004, T.O. 5",Socrate /Simona,05/01/07,10/31/12,0,1060666,0
,,6915564,C,P417000,"W911NF-07-D-0004, T.O. 5",Schuh /Christopher A,05/01/07,07/31/12,0,1625472,0
,,6915565,C,P417000,"W911NF-07-D-0004, T.O. 6",Gleason /Karen K,05/01/07,07/31/12,0,1125540,0
,,6915566,C,P417000,"W911NF-07-D-0004, T.O. 6",Langer /Robert S,05/01/07,07/31/12,0,411147,0
,,6915567,C,P417000,"W911NF-07-D-0004, T.O. 6",Klibanov /Alexander M,05/01/07,01/31/13,0,1442699,0
,,6915568,C,P417000,"W911NF-07-D-0004, T.O. 6",Bulovic /Vladimir,05/01/07,07/31/12,0,741433,0
,,6915569,C,P417000,"W911NF-07-D-0004, T.O. 6",Stellacci /Francesco,05/01/07,12/31/09,0,391000,0
,,6915570,C,P417000,"W911NF-07-D-0004, T.O. 6",Barbastathis /George,05/01/07,04/30/13,0,1406647,0
,,6915571,C,P417000,"W911NF-07-D-0004, T.O. 6",Smith /Henry I,05/01/07,12/31/10,0,57997,0
,,6915572,C,P417000,"W911NF-07-D-0004, T.O. 7",Baldo /Marc A,05/01/07,12/31/12,0,508734,0
,,6915573,C,P417000,"W911NF-07-D-0004, T.O. 7",Swager /Timothy M,05/01/07,07/31/12,0,579716,0
,,6915574,C,P417000,"W911NF-07-D-0004, T.O. 7",Joannopoulos /John,05/01/07,07/31/12,0,332194,0
,,6915575,C,P417000,"W911NF-07-D-0004, T.O. 7",Fink /Yoel,05/01/07,07/31/12,0,1034013,0
,,6915576,C,P417000,"W911NF-07-D-0004, T.O. 7",Joannopoulos /John,05/01/07,08/31/12,0,390299,0
,,6915577,C,P417000,"W911NF-07-D-0004, T.O. 7",Fink /Yoel,05/01/07,08/31/12,0,1037850,0
,,6915578,C,P417000,"W911NF-07-D-0004, T.O. 7",Joannopoulos /John,05/01/07,07/31/12,0,343741,0
,,6915579,C,P417000,"W911NF-07-D-0004, T.O. 7",Soljacic /Marin,05/01/07,08/31/12,0,809819,0
,,6915580,C,P417000,"W911NF-07-D-0004, T.O. 7",Fink /Yoel,05/01/07,07/31/12,0,509776,0
,,6915581,C,P417000,"W911NF-07-D-0004, T.O. 8",Fink /Yoel,05/01/07,05/31/09,0,49505,0
,,6915582,C,P417000,"W911NF-07-D-0004, T.O. 8",Khademhosseini /Alireza,05/01/07,05/31/12,0,50000,0
,,6915583,C,P417000,"W911NF-07-D-0004, T.O. 8",Langer /Robert S,07/01/07,07/31/12,0,73000,0
,,6915588,C,P417000,"W911NF-07-D-0004, T.O. 8",Khademhosseini /Alireza,01/01/08,05/31/09,0,50000,0
,,6915589,C,P417000,"W911NF-07-D-0004, T.O. 5",Van Vliet /Krystyn J,09/01/08,07/31/12,0,509295,0
,,6915590,C,P417000,"W911NF-07-D-0004, T.O. 5",Strano /Michael S.,09/01/08,07/31/12,0,597638,0
,,6915591,C,P417000,"W911NF-07-D-0004, T.O. 5",Schuh /Christopher A,09/01/08,07/31/12,0,710939,0
,,6915592,C,P417000,"W911NF07-D-0004, T.O. 2",Fink /Yoel,05/01/08,07/31/12,0,156619,0
,,6915600,C,P417000,"W911NF-07-D-0004, T.O. 8",Soljacic /Marin,01/01/08,12/31/08,0,149800,0
,,6915601,C,P417000,"W911NF-07-D-0004, T.O. 3",Kastner /Marc A,09/01/07,07/31/08,0,6683,0
,,6915602,C,P417000,"W911NF-07-D-0004, T.O. 8",Fink /Yoel,03/01/08,12/31/09,0,50000,0
,,6915603,C,P417000,"W911NF-07-D-0004, T.O. 8",McKinley /Gareth H,06/01/08,12/31/12,0,90858,0
,,6915604,C,P417000,"W911NF-07-D-0004, T.O. 8",Fink /Yoel,01/01/08,05/31/09,0,150000,0
,,6915605,C,P417000,"W911NF-07-D-0004, T.O. 8",Strano /Michael S.,01/01/09,07/31/12,0,43230,0
,,6915606,C,P417000,"W911NF-07-D-0004, T.O. 8",Khademhosseini /Alireza,01/01/09,05/31/10,0,50000,0
,,6915607,C,P417000,"W911NF-07-D-0004, T.O. 8",McKinley /Gareth H,05/01/09,12/31/10,0,93342,0
,,6915608,C,P417000,"W911NF-07-D-0004, T.O. 8",Rutledge /Gregory C,07/01/10,07/31/13,0,285986,0
,,6915609,C,P417000,"W911NF-07-D-0004, T.O. 8",McKinley /Gareth H,07/01/10,05/31/13,0,187425,0
,,6915610,C,P417000,"W911NF-07-D-0004, T.O. 8",Swager /Timothy M,06/01/10,07/31/12,0,6746,0
,,6915615,C,P417000,"W911NF-07-D-0004, T.O. 9",Joannopoulos /John,03/01/08,05/31/12,0,1433152,0
,,6915616,C,P417000,"W911NF-07-D-0004, T.O. 9",Bulovic /Vladimir,03/01/08,08/31/10,0,49883,0
,,6915617,C,P417000,"W911NF-07-D-0004, T.O. 9",Bawendi /Moungi G,03/01/08,05/31/10,0,50000,0
,,6915618,C,P417000,"W911NF-07-D-0004, T.O. 9",Fink /Yoel,03/01/08,05/31/09,0,34862,0
,,6915619,C,P417000,"W911NF-07-D-0004, T.O. 9",Gleason /Karen K,03/01/08,05/31/10,0,40000,0
,,6915620,C,P417000,"W911NF-07-D-0004, T.O. 9",Gleason /Karen K,03/01/08,05/31/10,0,24988,0
,,6915621,C,P417000,"W911NF-07-D-0004, T.O. 9",Hammond /Paula T,03/01/08,05/31/09,0,96918,0
,,6915623,C,P417000,W911NF-07-D-0004,Joannopoulos /John,10/01/08,05/31/12,-579,1726777,0
,,6915624,C,P417000,W911NF-07-D-0004,Joannopoulos /John,10/01/08,05/31/10,0,38971,0
,,6915625,C,P417000,W911NF-07-D-0004,Gleason /Karen K,10/01/08,05/31/10,0,20718,0
,,6915626,C,P417000,W911NF-07-D-0004,Bulovic /Vladimir,10/01/08,05/31/11,0,40787,0
,,6915627,C,P417000,W911NF-07-D-0004,Bawendi /Moungi G,10/01/08,05/31/10,0,41666,0
,,6915628,C,P417000,W911NF-07-D-0004,Fink /Yoel,10/01/08,08/31/10,0,150000,0
,,6915629,C,P417000,W911NF-07-D-0004,Strano /Michael S.,10/01/08,05/31/10,0,124159,0
,,6915630,C,P417000,"W911NF07-D0004, T.O. 2",Van Vliet /Krystyn J,09/01/09,12/31/10,0,310268,0
,,6915631,C,P417000,"W911NF-07-D-0004, T.O. 8",Langer /Robert S,03/01/10,07/31/12,0,146000,0
,,6915632,C,P417000,"W911NF-07-D-0004, T.O. 8",Khademhosseini /Alireza,03/01/10,02/29/12,0,100000,0
,,6915633,C,P417000,"W911NF-07-D-0004, T.O. 8",Soljacic /Marin,01/01/11,12/31/12,0,92622,0
,,6915634,C,P417000,"W911NF-07-D-0004, T.O. 9",Joannopoulos /John,03/01/10,05/31/12,0,1848391,0
,,6915635,C,P417000,"W911NF-07-D-0004, T.O. 9",Fink /Yoel,03/01/10,05/31/11,0,141990,0
,,6915636,C,P417000,"W911NF-07-D-0004, T.O. 9",Strano /Michael S.,03/01/10,05/31/11,0,125159,0
,,6915637,C,P417000,"W911NF-07-D-0004, T.O. 5",Boyce /Mary Cunningham,01/01/11,07/31/12,0,46459,0
,,6915638,C,P417000,"W911NF-07-D-0004, T.O. 7",Kong /Jing,01/01/11,07/31/12,0,113402,0
,,6915639,C,P417000,"W911NF-07-D-0004, T.O. 9",Joannopoulos /John,03/01/11,05/31/13,0,1929168,0
,,6915647,C,P417000,"W911NF-07-D-0004, T.O. 9",Fink /Yoel,03/01/11,12/31/12,0,150256,0
,,6915648,C,P417000,"W911NF-07-D-0004, T.O. 9",Strano /Michael S.,03/01/11,05/31/12,0,67765,0
,,6915649,C,P417000,"W911NF-07-D-0004, T.O. 9",Bawendi /Moungi G,06/01/11,07/31/12,0,35583,0
,,6915651,C,P417000,"W911NF-07-D-0004, T.O. 7",Soljacic /Marin,10/01/11,07/31/12,0,3380,0
,,6915652,C,P417000,"W911NF-07-D-0004, T.O. 8",Strano /Michael S.,10/01/11,12/31/11,0,6787,0
,,6915653,C,P417000,"W911NF-07-D-0004, T.O. 8",Socrate /Simona,07/01/11,06/30/12,0,34385,0
,,6915654,C,P417000,"W911NF-07-D-0004, T.O. 8",Rutledge /Gregory C,09/01/11,07/31/13,0,90442,0
,,6915655,C,P417000,"W911NF-07-D-0004, T.O. 8",Olsen /Bradley D.,04/01/12,03/31/13,0,250000,0
,,6915656,C,P417000,"W911NF-07-D-0004, T.O. 9",Kimerling /Lionel C,01/01/12,12/31/12,0,29962,0
,,6915657,C,P417000,"W911NF-07-D-0004, T.O. 9",Joannopoulos /John,04/01/12,05/31/13,0,1410087,0
,,6915658,C,P417000,"W911NF-07-D-0004, T.O. 9",Joannopoulos /John,04/01/12,05/31/13,0,3325,0
,,6915659,C,P417000,"W911NF-07-D-0004, T.O. 9",Kimerling /Lionel C,06/01/12,05/31/13,0,34023,0
,,6915660,C,P417000,"W911NF-07-D-0004, T.O. 9",Bawendi /Moungi G,06/01/12,05/31/13,0,36938,0
,,6915663,C,P417000,"W911NF-07-D-0004, T.O. 3",Bawendi /Moungi G,08/01/12,02/07/13,0,89446,0
,,6915664,C,P417000,"W911NF-07-D-0004, T.O. 3",Bulovic /Vladimir,08/01/12,02/07/13,0,33642,0
,,6915665,C,P417000,"W911NF-07-D-0004, T.O. 3",Jensen /Klavs F,08/01/12,02/07/13,0,13710,0
,,6915666,C,P417000,"W911NF-07-D-0004, T.O. 3",Kastner /Marc A,08/01/12,02/07/13,0,16075,0
,,6915667,C,P417000,"W911NF-07-D-0004, T.O. 3",Palacios /Tomas,08/01/12,02/07/13,0,42084,0
,,6915668,C,P417000,"W911NF-07-D-0004, T.O. 3",Soljacic /Marin,08/01/12,12/31/12,0,29868,0
,,6915669,C,P417000,"W911NF-07-D-0004, T.O. 3",Boyce /Mary Cunningham,08/01/12,02/07/13,0,13799,0
,,6915670,C,P417000,"W911NF-07-D-0004, T.O. 3",Gleason /Karen K,08/01/12,02/07/13,0,35937,0
,,6915671,C,P417000,"W911NF-07-D-0004, T.O. 3",Varanasi /Kripa,08/01/12,02/07/13,0,19736,0
,,6915672,C,P417000,"W911NF-07-D-0004, T.O. 3",Gleason /Karen K,08/01/12,02/07/13,0,23794,0
,,6915673,C,P417000,"W911NF-07-D-0004, T.O. 3",Joannopoulos /John,08/01/12,12/31/12,0,23149,0
